,bench_count,ID,atm_count,cafe_count,bicycle_parking_count,fountain_count,fast_food_count,shelter_count,vending_machine_count,waste_basket_count,recycling_count,drinking_water_count,toilet_count,geometry,tile_count,cluster_cat
1702,0.0,1703,0.0,-1.0,0.0,0.0,-1.0,0.0,-1.0,6.0,4.0,0.0,0.0,"POLYGON ((16.285111607540543 48.139941533177776, 16.285116062879112 48.13544486949612, 16.2918337689377 48.13544765511264, 16.291829900238703 48.13994431921903, 16.285111607540543 48.139941533177776))",1,3
1703,-2.0,1704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,"POLYGON ((16.291829900238703 48.13994431921903, 16.2918337689377 48.13544765511264, 16.298551475925535 48.13545004809506, 16.2985481938664 48.13994671256458, 16.291829900238703 48.13994431921903))",1,7
1704,-2.0,1705,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,"POLYGON ((16.2985481938664 48.13994671256458, 16.298551475925535 48.13545004809506, 16.305269183698915 48.135452048443284, 16.305266488279877 48.13994871321435, 16.2985481938664 48.13994671256458))",1,7
1705,-2.0,1706,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,"POLYGON ((16.305266488279877 48.13994871321435, 16.305269183698915 48.135452048443284, 16.31198689211415 48.13545365615717, 16.31198478333542 48.13995032116818, 16.305266488279877 48.13994871321435))",1,7
1706,-5.0,1707,0.0,0.0,2.0,0.0,0.0,0.0,-1.0,-5.0,0.0,-1.0,0.0,"POLYGON ((16.31198478333542 48.13995032116818, 16.31198689211415 48.13545365615717, 16.31870460102755 48.135454871236675, 16.318703078889286 48.13995153642603, 16.31198478333542 48.13995032116818))",1,3
1707,-4.0,1708,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,-3.0,0.0,-1.0,0.0,"POLYGON ((16.318703078889286 48.13995153642603, 16.31870460102755 48.135454871236675, 16.32542231029543 48.13545569368172, 16.32542137479773 48.139952358987834, 16.318703078889286 48.13995153642603))",1,0
1708,-4.0,1709,0.0,0.0,-2.0,0.0,0.0,0.0,-1.0,-2.0,-1.0,-1.0,0.0,"POLYGON ((16.32542137479773 48.139952358987834, 16.32542231029543 48.13545569368172, 16.332140019774084 48.13545612349227, 16.332139670917027 48.13995278885353, 16.32542137479773 48.139952358987834))",1,0
1709,-2.0,1710,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-2.0,-1.0,0.0,0.0,"POLYGON ((16.332139670917027 48.13995278885353, 16.332140019774084 48.13545612349227, 16.33885772931982 48.13545616066829, 16.33885796710342 48.139952826023105, 16.332139670917027 48.13995278885353))",1,7
1710,-2.0,1711,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,3.0,0.0,0.0,"POLYGON ((16.33885796710342 48.139952826023105, 16.33885772931982 48.13545616066829, 16.34557543878896 48.13545580520979, 16.345576263213207 48.13995247049656, 16.33885796710342 48.139952826023105))",1,7
1711,-4.0,1712,0.0,0.0,-2.0,0.0,0.0,0.0,-1.0,-2.0,-2.0,-1.0,0.0,"POLYGON ((16.345576263213207 48.13995247049656, 16.34557543878896 48.13545580520979, 16.352293148037806 48.13545505711679, 16.352294559102617 48.13995172227391, 16.345576263213207 48.13995247049656))",1,0
1712,-2.0,1713,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-2.0,-1.0,0.0,0.0,"POLYGON ((16.352294559102617 48.13995172227391, 16.352293148037806 48.13545505711679, 16.359010856922655 48.13545391638936, 16.359012854627927 48.139950581355244, 16.352294559102617 48.13995172227391))",1,7
1713,-2.0,1714,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-2.0,-1.0,0.0,0.0,"POLYGON ((16.359012854627927 48.139950581355244, 16.359010856922655 48.13545391638936, 16.365728565299833 48.13545238302752, 16.365731149645406 48.13994904774055, 16.359012854627927 48.139950581355244))",1,7
1714,-2.0,1715,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-2.0,-1.0,0.0,0.0,"POLYGON ((16.365731149645406 48.13994904774055, 16.365728565299833 48.13545238302752, 16.372446273025634 48.13545045703137, 16.37244944401131 48.139947121430005, 16.365731149645406 48.13994904774055))",1,7
1715,-1.0,1716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"POLYGON ((16.37244944401131 48.139947121430005, 16.372446273025634 48.13545045703137, 16.37916397995637 48.13544813840104, 16.3791677375819 48.13994480242362, 16.37244944401131 48.139947121430005))",1,4
1716,-2.0,1717,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,-2.0,0.0,0.0,0.0,"POLYGON ((16.3791677375819 48.13994480242362, 16.37916397995637 48.13544813840104, 16.385881685948366 48.135445427136624, 16.385886030213435 48.139942090721576, 16.3791677375819 48.13994480242362))",1,7
1717,-2.0,1718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,"POLYGON ((16.385886030213435 48.139942090721576, 16.385881685948366 48.135445427136624, 16.392599390857892 48.13544232323828, 16.392604321762196 48.13993898632402, 16.385886030213435 48.139942090721576))",1,7
1718,-4.0,1719,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,-4.0,0.0,0.0,0.0,"POLYGON ((16.392604321762196 48.13993898632402, 16.392599390857892 48.13544232323828, 16.399317094541292 48.13543882670618, 16.39932261208444 48.139935489231114, 16.392604321762196 48.13993898632402))",1,0
1719,-4.0,1720,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-3.0,3.0,0.0,1.0,"POLYGON ((16.39932261208444 48.139935489231114, 16.399317094541292 48.13543882670618, 16.40603479685486 48.135434937540545, 16.40604090103642 48.13993159944302, 16.39932261208444 48.139935489231114))",1,0
1720,-1.0,1721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,"POLYGON ((16.40604090103642 48.13993159944302, 16.40603479685486 48.135434937540545, 16.4127524976549 48.135430655741516, 16.412759188474414 48.13992731695999, 16.40604090103642 48.13993159944302))",1,4
1721,-1.0,1722,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-2.0,-1.0,0.0,0.0,"POLYGON ((16.412759188474414 48.13992731695999, 16.4127524976549 48.135430655741516, 16.419470196797743 48.135425981309396, 16.419477474254677 48.139922641782256, 16.412759188474414 48.13992731695999))",1,7
