landcommercial_count,industrial_count,railway_count,residential_count,retail_count,geometry,landnature_count
0.0,0.0,0.0,0.0,0.0,"POLYGON ((16.38606508122363 48.32430225677731, 16.386060692287522 48.319805737979394, 16.392802567748795 48.319802613542414, 16.39280754925428 48.324299131837556, 16.38606508122363 48.32430225677731))",20.0
0.0,0.0,0.0,0.0,0.0,"POLYGON ((16.39280754925428 48.324299131837556, 16.392802567748795 48.319802613542414, 16.399544441968157 48.31979909393734, 16.399550016042625 48.324295611667715, 16.39280754925428 48.324299131837556))",22.0
0.0,0.0,0.0,0.0,0.0,"POLYGON ((16.399550016042625 48.324295611667715, 16.399544441968157 48.31979909393734, 16.40628631480006 48.319795179164466, 16.40629248144308 48.324291696268006, 16.399550016042625 48.324295611667715))",14.0
0.0,0.0,0.0,0.0,0.0,"POLYGON ((16.40629248144308 48.324291696268006, 16.40628631480006 48.319795179164466, 16.41302818609896 48.31979086922396, 16.413034945310063 48.324287385638605, 16.40629248144308 48.324291696268006))",1.0
0.0,0.0,0.0,0.0,0.0,"POLYGON ((16.413034945310063 48.324287385638605, 16.41302818609896 48.31979086922396, 16.41977005571931 48.319786164116046, 16.419777407497964 48.32428267977979, 16.413034945310063 48.324287385638605))",0.0
0.0,0.0,0.0,0.0,0.0,"POLYGON ((16.419777407497964 48.32428267977979, 16.41977005571931 48.319786164116046, 16.426511923515562 48.31978106384097, 16.426519867861206 48.32427757869177, 16.419777407497964 48.32428267977979))",2.0
0.0,0.0,0.0,0.0,0.0,"POLYGON ((16.426519867861206 48.32427757869177, 16.426511923515562 48.31978106384097, 16.433253789342192 48.319775568399045, 16.43326232625419 48.32427208237487, 16.426519867861206 48.32427757869177))",9.0
0.0,0.0,0.0,0.0,0.0,"POLYGON ((16.379318815729885 48.31980846724818, 16.37931502031431 48.31531194447964, 16.386056304447777 48.31530921565149, 16.386060692287522 48.319805737979394, 16.379318815729885 48.31980846724818))",19.0
0.0,0.0,0.0,0.0,0.0,"POLYGON ((16.386060692287522 48.319805737979394, 16.386056304447777 48.31530921565149, 16.392797587485216 48.315306091717154, 16.392802567748795 48.319802613542414, 16.386060692287522 48.319805737979394))",12.0
0.0,0.0,0.0,0.0,0.0,"POLYGON ((16.392802567748795 48.319802613542414, 16.392797587485216 48.315306091717154, 16.399538869281127 48.31530257267681, 16.399544441968157 48.31979909393734, 16.392802567748795 48.319802613542414))",7.0
0.0,0.0,0.0,0.0,0.0,"POLYGON ((16.399544441968157 48.31979909393734, 16.399538869281127 48.31530257267681, 16.406280149690016 48.31529865853065, 16.40628631480006 48.319795179164466, 16.399544441968157 48.31979909393734))",6.0
0.0,0.0,0.0,0.0,0.0,"POLYGON ((16.40628631480006 48.319795179164466, 16.406280149690016 48.31529865853065, 16.41302142856639 48.315294349278886, 16.41302818609896 48.31979086922396, 16.40628631480006 48.319795179164466))",10.0
0.0,0.0,0.0,0.0,0.0,"POLYGON ((16.41302818609896 48.31979086922396, 16.41302142856639 48.315294349278886, 16.419762705764725 48.31528964492175, 16.41977005571931 48.319786164116046, 16.41302818609896 48.31979086922396))",2.0
0.0,0.0,0.0,0.0,0.0,"POLYGON ((16.41977005571931 48.319786164116046, 16.419762705764725 48.31528964492175, 16.42650398113955 48.31528454545949, 16.426511923515562 48.31978106384097, 16.41977005571931 48.319786164116046))",3.0
0.0,0.0,0.0,0.0,0.0,"POLYGON ((16.426511923515562 48.31978106384097, 16.42650398113955 48.31528454545949, 16.433245254545348 48.3152790508924, 16.433253789342192 48.319775568399045, 16.426511923515562 48.31978106384097))",14.0
0.0,0.0,0.0,11.0,0.0,"POLYGON ((16.433253789342192 48.319775568399045, 16.433245254545348 48.3152790508924, 16.43998652583664 48.31527316122076, 16.439995653053636 48.31976967779056, 16.433253789342192 48.319775568399045))",13.0
0.0,0.0,0.0,0.0,0.0,"POLYGON ((16.37931502031431 48.31531194447964, 16.379311225849232 48.31081541818109, 16.386051917704027 48.31081268979352, 16.386056304447777 48.31530921565149, 16.37931502031431 48.31531194447964))",6.0
0.0,0.0,0.0,0.0,0.0,"POLYGON ((16.386056304447777 48.31530921565149, 16.386051917704027 48.31081268979352, 16.392792608463132 48.31080956636175, 16.392797587485216 48.315306091717154, 16.386056304447777 48.31530921565149))",0.0
0.0,0.0,0.0,0.0,0.0,"POLYGON ((16.392797587485216 48.315306091717154, 16.392792608463132 48.31080956636175, 16.399533297981097 48.31080604788601, 16.399538869281127 48.31530257267681, 16.392797587485216 48.315306091717154))",0.0
0.0,0.0,0.0,0.0,0.0,"POLYGON ((16.399538869281127 48.31530257267681, 16.399533297981097 48.31080604788601, 16.406273986112474 48.31080213436647, 16.406280149690016 48.31529865853065, 16.399538869281127 48.31530257267681))",4.0
0.0,0.0,0.0,0.0,0.0,"POLYGON ((16.406280149690016 48.31529865853065, 16.406273986112474 48.31080213436647, 16.413014672711803 48.310797825803334, 16.41302142856639 48.315294349278886, 16.406280149690016 48.31529865853065))",10.0
0.0,0.0,0.0,0.0,0.0,"POLYGON ((16.41302142856639 48.315294349278886, 16.413014672711803 48.310797825803334, 16.419755357633644 48.31079312219687, 16.419762705764725 48.31528964492175, 16.41302142856639 48.315294349278886))",7.0
0.0,0.0,0.0,0.0,0.0,"POLYGON ((16.419762705764725 48.31528964492175, 16.419755357633644 48.31079312219687, 16.42649604073252 48.31078802354726, 16.42650398113955 48.31528454545949, 16.419762705764725 48.31528964492175))",1.0
0.0,1.0,0.0,0.0,0.0,"POLYGON ((16.42650398113955 48.31528454545949, 16.42649604073252 48.31078802354726, 16.433236721863004 48.31078252985485, 16.433245254545348 48.3152790508924, 16.42650398113955 48.31528454545949))",9.0
0.0,0.0,0.0,0.0,0.0,"POLYGON ((16.433245254545348 48.3152790508924, 16.433236721863004 48.31078252985485, 16.439977400879624 48.31077664111992, 16.43998652583664 48.31527316122076, 16.433245254545348 48.3152790508924))",18.0
0.0,0.0,0.0,0.0,0.0,"POLYGON ((16.379311225849232 48.31081541818109, 16.379307432334375 48.30631888835249, 16.386047532055944 48.306316160405395, 16.386051917704027 48.31081268979352, 16.379311225849232 48.31081541818109))",11.0
0.0,0.0,0.0,0.0,0.0,"POLYGON ((16.386051917704027 48.31081268979352, 16.386047532055944 48.306316160405395, 16.392787630682168 48.30631303747616, 16.392792608463132 48.31080956636175, 16.386051917704027 48.31081268979352))",1.0
0.0,0.0,0.0,0.0,0.0,"POLYGON ((16.392792608463132 48.31080956636175, 16.392787630682168 48.30631303747616, 16.39952772806765 48.30630951956491, 16.399533297981097 48.31080604788601, 16.392792608463132 48.31080956636175))",0.0
0.0,0.0,0.0,1.0,0.0,"POLYGON ((16.399533297981097 48.31080604788601, 16.39952772806765 48.30630951956491, 16.406267824066962 48.30630560667189, 16.406273986112474 48.31080213436647, 16.399533297981097 48.31080604788601))",0.0
0.0,0.0,0.0,0.0,0.0,"POLYGON ((16.406273986112474 48.31080213436647, 16.406267824066962 48.30630560667189, 16.413007918534706 48.30630129879726, 16.413014672711803 48.310797825803334, 16.406273986112474 48.31080213436647))",2.0
0.0,0.0,0.0,0.0,0.0,"POLYGON ((16.413014672711803 48.310797825803334, 16.413007918534706 48.30630129879726, 16.419748011325485 48.30629659594127, 16.419755357633644 48.31079312219687, 16.413014672711803 48.310797825803334))",2.0
0.0,0.0,0.0,0.0,0.0,"POLYGON ((16.419755357633644 48.31079312219687, 16.419748011325485 48.30629659594127, 16.426488102293884 48.30629149810423, 16.42649604073252 48.31078802354726, 16.419755357633644 48.31079312219687))",0.0
0.0,0.0,0.0,0.0,0.0,"POLYGON ((16.42649604073252 48.31078802354726, 16.426488102293884 48.30629149810423, 16.43322819129449 48.306286005286346, 16.433236721863004 48.31078252985485, 16.42649604073252 48.31078802354726))",3.0
0.0,0.0,0.0,0.0,0.0,"POLYGON ((16.433236721863004 48.31078252985485, 16.43322819129449 48.306286005286346, 16.4399682781819 48.30628011748795, 16.439977400879624 48.31077664111992, 16.433236721863004 48.31078252985485))",17.0
0.0,0.0,0.0,0.0,0.0,"POLYGON ((16.379307432334375 48.30631888835249, 16.379303639769432 48.30182235499379, 16.386043147503187 48.30181962748711, 16.386047532055944 48.306316160405395, 16.379307432334375 48.30631888835249))",3.0
0.0,0.0,0.0,0.0,0.0,"POLYGON ((16.386047532055944 48.306316160405395, 16.386043147503187 48.30181962748711, 16.39278265414194 48.30181650506027, 16.392787630682168 48.30631303747616, 16.386047532055944 48.306316160405395))",0.0
0.0,0.0,0.0,0.0,0.0,"POLYGON ((16.392787630682168 48.30631303747616, 16.39278265414194 48.30181650506027, 16.399522159540325 48.30181298771344, 16.39952772806765 48.30630951956491, 16.392787630682168 48.30631303747616))",2.0
0.0,0.0,0.0,0.0,0.0,"POLYGON ((16.39952772806765 48.30630951956491, 16.399522159540325 48.30181298771344, 16.406261663552993 48.3018090754468, 16.406267824066962 48.30630560667189, 16.39952772806765 48.30630951956491))",1.0
0.0,0.0,0.0,0.0,0.0,"POLYGON ((16.406267824066962 48.30630560667189, 16.406261663552993 48.3018090754468, 16.413001166034565 48.30180476826058, 16.413007918534706 48.30630129879726, 16.406267824066962 48.30630560667189))",1.0
0.0,0.0,0.0,0.0,0.0,"POLYGON ((16.413007918534706 48.30630129879726, 16.413001166034565 48.30180476826058, 16.419740666839694 48.301800066154996, 16.419748011325485 48.30629659594127, 16.413007918534706 48.30630129879726))",0.0
0.0,0.0,0.0,1.0,1.0,"POLYGON ((16.419748011325485 48.30629659594127, 16.419740666839694 48.301800066154996, 16.426480165823012 48.30179496913031, 16.426488102293884 48.30629149810423, 16.419748011325485 48.30629659594127))",0.0
0.0,0.0,0.0,0.0,0.0,"POLYGON ((16.426488102293884 48.30629149810423, 16.426480165823012 48.30179496913031, 16.433219662839157 48.30178947718682, 16.43322819129449 48.306286005286346, 16.426488102293884 48.30629149810423))",9.0
0.0,0.0,0.0,0.0,0.0,"POLYGON ((16.43322819129449 48.306286005286346, 16.433219662839157 48.30178947718682, 16.43995915774277 48.30178359032477, 16.4399682781819 48.30628011748795, 16.43322819129449 48.306286005286346))",19.0
0.0,0.0,0.0,0.0,0.0,"POLYGON ((16.4399682781819 48.30628011748795, 16.43995915774277 48.30178359032477, 16.44669865038848 48.301777308544544, 16.446708362810718 48.306273834709366, 16.4399682781819 48.30628011748795))",21.0
0.0,6.0,0.0,0.0,0.0,"POLYGON ((16.372564131086044 48.30182468758016, 16.37256093131347 48.297328150312886, 16.37929984815411 48.297325818104895, 16.379303639769432 48.30182235499379, 16.372564131086044 48.30182468758016))",0.0
0.0,0.0,0.0,2.0,0.0,"POLYGON ((16.379303639769432 48.30182235499379, 16.37929984815411 48.297325818104895, 16.386038764045406 48.29732309103854, 16.386043147503187 48.30181962748711, 16.379303639769432 48.30182235499379))",1.0
0.0,0.0,0.0,3.0,0.0,"POLYGON ((16.386043147503187 48.30181962748711, 16.386038764045406 48.29732309103854, 16.392777678842045 48.297319969114014, 16.39278265414194 48.30181650506027, 16.386043147503187 48.30181962748711))",1.0
0.0,0.0,0.0,0.0,0.0,"POLYGON ((16.39278265414194 48.30181650506027, 16.392777678842045 48.297319969114014, 16.399516592398715 48.29731645233149, 16.399522159540325 48.30181298771344, 16.39278265414194 48.30181650506027))",1.0
0.0,0.0,0.0,0.0,0.0,"POLYGON ((16.399522159540325 48.30181298771344, 16.399516592398715 48.29731645233149, 16.406255504570083 48.29731254069114, 16.406261663552993 48.3018090754468, 16.399522159540325 48.30181298771344))",5.0
0.0,0.0,0.0,0.0,0.0,"POLYGON ((16.406261663552993 48.3018090754468, 16.406255504570083 48.29731254069114, 16.412994415210846 48.297308234193196, 16.413001166034565 48.30180476826058, 16.406261663552993 48.3018090754468))",2.0
0.0,0.0,0.0,0.0,0.0,"POLYGON ((16.413001166034565 48.30180476826058, 16.412994415210846 48.297308234193196, 16.41973332417569 48.29730353283789, 16.419740666839694 48.301800066154996, 16.413001166034565 48.30180476826058))",0.0
0.0,0.0,0.0,2.0,2.0,"POLYGON ((16.419740666839694 48.301800066154996, 16.41973332417569 48.29730353283789, 16.42647223131929 48.29729843662545, 16.426480165823012 48.30179496913031, 16.419740666839694 48.301800066154996))",2.0
0.0,0.0,0.0,0.0,0.0,"POLYGON ((16.426480165823012 48.30179496913031, 16.42647223131929 48.29729843662545, 16.433211136496332 48.297292945556165, 16.433219662839157 48.30178947718682, 16.426480165823012 48.30179496913031))",17.0
0.0,0.0,0.0,0.0,0.0,"POLYGON ((16.433219662839157 48.30178947718682, 16.433211136496332 48.297292945556165, 16.439950039561506 48.29728705963035, 16.43995915774277 48.30178359032477, 16.433219662839157 48.30178947718682))",22.0
0.0,0.0,0.0,1.0,0.0,"POLYGON ((16.43995915774277 48.30178359032477, 16.439950039561506 48.29728705963035, 16.446688940369484 48.29728077884831, 16.44669865038848 48.301777308544544, 16.43995915774277 48.30178359032477))",25.0
0.0,2.0,0.0,0.0,2.0,"POLYGON ((16.37256093131347 48.297328150312886, 16.372557732344895 48.292831609515424, 16.37929605748809 48.292829277685705, 16.37929984815411 48.297325818104895, 16.37256093131347 48.297328150312886))",1.0
0.0,0.0,0.0,8.0,1.0,"POLYGON ((16.37929984815411 48.297325818104895, 16.37929605748809 48.292829277685705, 16.386034381682265 48.29282655105961, 16.386038764045406 48.29732309103854, 16.37929984815411 48.297325818104895))",1.0
0.0,0.0,0.0,0.0,0.0,"POLYGON ((16.386038764045406 48.29732309103854, 16.386034381682265 48.29282655105961, 16.39277270478211 48.29282342963734, 16.392777678842045 48.297319969114014, 16.386038764045406 48.29732309103854))",0.0
0.0,0.0,0.0,0.0,0.0,"POLYGON ((16.392777678842045 48.297319969114014, 16.39277270478211 48.29282342963734, 16.399511026642372 48.29281991341904, 16.399516592398715 48.29731645233149, 16.392777678842045 48.297319969114014))",0.0
0.0,0.0,0.0,0.0,0.0,"POLYGON ((16.399516592398715 48.29731645233149, 16.399511026642372 48.29281991341904, 16.40624934711777 48.292816002404855, 16.406255504570083 48.29731254069114, 16.399516592398715 48.29731645233149))",4.0
0.0,0.0,0.0,0.0,0.0,"POLYGON ((16.406255504570083 48.29731254069114, 16.40624934711777 48.292816002404855, 16.412987666063042 48.29281169659507, 16.412994415210846 48.297308234193196, 16.406255504570083 48.29731254069114))",4.0
