,industrial_count,retail_count,popden12,entertainment_count,ID,education_count,food_count,healthcare_count,resi_count,transport_count,green_count,commercials_count,geometry,cluster_cat
35,0.0,0.0,1.45232,0.0,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"POLYGON ((16.386047532055944 48.306316160405395, 16.386043147503187 48.30181962748711, 16.39278265414194 48.30181650506027, 16.392787630682168 48.30631303747616, 16.386047532055944 48.306316160405395))",7
36,0.0,0.0,1.45232,0.0,37,0.0,1.0,0.0,0.0,0.0,2.0,0.0,"POLYGON ((16.392787630682168 48.30631303747616, 16.39278265414194 48.30181650506027, 16.399522159540325 48.30181298771344, 16.39952772806765 48.30630951956491, 16.392787630682168 48.30631303747616))",7
37,0.0,0.0,1.45232,0.0,38,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"POLYGON ((16.39952772806765 48.30630951956491, 16.399522159540325 48.30181298771344, 16.406261663552993 48.3018090754468, 16.406267824066962 48.30630560667189, 16.39952772806765 48.30630951956491))",7
38,0.0,0.0,1.45232,0.0,39,0.0,4.0,0.0,0.0,7.0,1.0,0.0,"POLYGON ((16.406267824066962 48.30630560667189, 16.406261663552993 48.3018090754468, 16.413001166034565 48.30180476826058, 16.413007918534706 48.30630129879726, 16.406267824066962 48.30630560667189))",7
39,0.0,0.0,1.45232,0.0,40,0.0,1.0,0.0,0.0,0.0,0.0,0.0,"POLYGON ((16.413007918534706 48.30630129879726, 16.413001166034565 48.30180476826058, 16.419740666839694 48.301800066154996, 16.419748011325485 48.30629659594127, 16.413007918534706 48.30630129879726))",7
40,0.0,1.0,1.45232,0.0,41,0.0,0.0,0.0,1.0,0.0,0.0,0.0,"POLYGON ((16.419748011325485 48.30629659594127, 16.419740666839694 48.301800066154996, 16.426480165823012 48.30179496913031, 16.426488102293884 48.30629149810423, 16.419748011325485 48.30629659594127))",7
41,0.0,0.0,1.45232,0.0,42,0.0,0.0,0.0,0.0,0.0,9.0,0.0,"POLYGON ((16.426488102293884 48.30629149810423, 16.426480165823012 48.30179496913031, 16.433219662839157 48.30178947718682, 16.43322819129449 48.306286005286346, 16.426488102293884 48.30629149810423))",7
42,0.0,0.0,1.45232,0.0,43,0.0,0.0,0.0,0.0,0.0,19.0,0.0,"POLYGON ((16.43322819129449 48.306286005286346, 16.433219662839157 48.30178947718682, 16.43995915774277 48.30178359032477, 16.4399682781819 48.30628011748795, 16.43322819129449 48.306286005286346))",4
43,0.0,0.0,1.45232,0.0,44,0.0,0.0,0.0,0.0,0.0,21.0,0.0,"POLYGON ((16.4399682781819 48.30628011748795, 16.43995915774277 48.30178359032477, 16.44669865038848 48.301777308544544, 16.446708362810718 48.306273834709366, 16.4399682781819 48.30628011748795))",4
44,6.0,0.0,12.50966,0.0,45,0.0,1.0,0.0,0.0,4.0,0.0,0.0,"POLYGON ((16.372564131086044 48.30182468758016, 16.37256093131347 48.297328150312886, 16.37929984815411 48.297325818104895, 16.379303639769432 48.30182235499379, 16.372564131086044 48.30182468758016))",7
